ID	ID_nohemi	hemi	name	name_full	level 0 / Lobe	level 1 / ROI	level 1 / ROI (abbr)	Modified Cytoarchitectonic
185	33	rh	PoCG.d	postcentral gyrus, dorsal part	Sensorimotor Cortex	Postcentral Gyrus	PoCG	1/2/3 (trunk)
186	34	rh	PoCG.i	postcentral gyrus, intermediate part	Sensorimotor Cortex	Postcentral Gyrus	PoCG	1/2/3 (hand)
187	35	rh	PoCG.v	postcentral gyrus, ventral part 	Sensorimotor Cortex	Postcentral Gyrus	PoCG	1/2/3 (face)
188	36	rh	FPO.r	frontal parietal operculum, rostral part	Sensorimotor Cortex	Frontal and Parietal Operculum	FPO	ProM/Gu
189	37	rh	FPO.ri	frontal parietal operculum, rostrointermediate part	Sensorimotor Cortex	Frontal and Parietal Operculum	FPO	S2/PFop
190	38	rh	FPO.ci	frontal parietal operculum, caudointermediate part	Sensorimotor Cortex	Frontal and Parietal Operculum	FPO	S2/S2I
191	39	rh	FPO.c	frontal parietal operculum, caudal part	Sensorimotor Cortex	Frontal and Parietal Operculum	FPO	PGop
192	40	rh	SPL.rv	superior parital lobule, rostroventral part	Parietal Lobe	Superior Parietal Lobe	SPL	PEa, rostral part
193	41	rh	SPL.iv	superior parital lobule, intermedioventral part	Parietal Lobe	Superior Parietal Lobe	SPL	PEa, caudal part
194	42	rh	SPL.cv	superior parital lobule, caudoventral part	Parietal Lobe	Superior Parietal Lobe	SPL	PO
195	43	rh	SPL.rd	superior parital lobule, rostrodorsal part 	Parietal Lobe	Superior Parietal Lobe	SPL	PE
196	44	rh	SPL.cd	superior parital lobule, caudodorsal part 	Parietal Lobe	Superior Parietal Lobe	SPL	PE/PEC
197	45	rh	SPL.m	superior parital lobule, medial part	Parietal Lobe	Superior Parietal Lobe	SPL	PECg, dorsal part
198	46	rh	IPL.sr	inferior parietal lobe, sulcal rostral part	Parietal Lobe	Inferior Parietal Lobe	IPL	AIP, rostral part
199	47	rh	IPL.sri	inferior parietal lobe, sulcal rostrointermediate part 	Parietal Lobe	Inferior Parietal Lobe	IPL	AIP, caudal part
200	48	rh	IPL.sci	inferior parietal lobe, sulcal caudointermediate part	Parietal Lobe	Inferior Parietal Lobe	IPL	LIP, rostral part
201	49	rh	IPL.sc	inferior parietal lobe, sulcal caudal part	Parietal Lobe	Inferior Parietal Lobe	IPL	LIP, caudal part
202	50	rh	IPL.gr	inferior parietal lobule, gyral rostral part	Parietal Lobe	Inferior Parietal Lobe	IPL	PF
203	51	rh	IPL.gri	inferior parietal lobule, gyral rostrointermediate part 	Parietal Lobe	Inferior Parietal Lobe	IPL	PFG
204	52	rh	IPL.gci	inferior parietal loule, gyral caudointermediate part	Parietal Lobe	Inferior Parietal Lobe	IPL	PG
205	53	rh	IPL.gc	inferior parietal lobule, gyral caudal part	Parietal Lobe	Inferior Parietal Lobe	IPL	Opt
206	54	rh	PrCu.vr	precuneus, ventrorostral part	Parietal Lobe	Precueus	PrCu	31, rostral part
207	55	rh	PrCu.dr	precuneus, dorsorostral part	Parietal Lobe	Precueus	PrCu	PECg, ventral part
208	56	rh	PrCu.dc	precuneus, dorsocaudal part	Parietal Lobe	Precueus	PrCu	PGM/PO
209	57	rh	PrCu.di	precuneus, dorsointermediate part	Parietal Lobe	Precueus	PrCu	PGM/PEC
210	58	rh	PrCu.vi	precuneus, ventrointermediate part	Parietal Lobe	Precueus	PrCu	PGM/31, ventral part
211	59	rh	PrCu.vc	precuneus, ventrocaudal part	Parietal Lobe	Precueus	PrCu	23x
212	60	rh	PrL.d	prelunate cortex,dorsal part 	Parietal Lobe	Prelunate Cortex	PrL	V3A/V3D/V4A
213	61	rh	PrL.i	prelunate cortex, intermediate part 	Parietal Lobe	Prelunate Cortex	PrL	V4D, dorsal part
214	62	rh	PrL.STS	prelunate cortex, superior temporal sulcal part	Parietal Lobe	Prelunate Cortex	PrL	Dpt/MT
215	63	rh	PrL.v	prelunate cortex, ventral part	Parietal Lobe	Prelunate Cortex	PrL	V4D, ventral part
216	64	rh	SFL.r	superior temporal gyrus, Sylivian fissure lower bank, rostral part	Temporal Lobe	Superior Temporal Gyrus	STG	ProK
217	65	rh	SFL.i	superior temporal gyrus, Sylivian fissure lower bank, caudal part	Temporal Lobe	Superior Temporal Gyrus	STG	AK
218	66	rh	STG.gc	superior temporal gyrus, gyral caudal part	Temporal Lobe	Superior Temporal Gyrus	STG	PaAC/Tpt
219	67	rh	STG.gr	superior temporal gyrus, gyral rostral part	Temporal Lobe	Superior Temporal Gyrus	STG	ST1/ ST2/TAa
220	68	rh	STG.gri	superior temporal gyrus, gyral rostrointermediate part	Temporal Lobe	Superior Temporal Gyrus	STG	ST3/PaAL/
221	69	rh	STG.gci	superior temporal gyrus, gyral caudointermediate part	Temporal Lobe	Superior Temporal Gyrus	STG	Tpt
